x,y,R,G,B,,
0,12,255,255,255,,
1,12,255,255,255,,
2,12,255,255,255,,
3,12,255,255,255,,
4,12,255,255,255,,
5,12,255,219,144,,
6,12,58,0,0,,
7,12,0,0,0,,
8,12,0,102,182,,
9,12,255,255,255,,
10,12,255,255,255,,
11,12,255,255,255,,
12,12,219,144,58,,
13,12,0,0,0,,
14,12,0,0,0,,
15,12,58,144,219,,
16,12,255,255,255,,
17,12,255,255,255,,
18,12,255,255,255,,
19,12,255,255,255,,
20,12,255,255,255,,
21,12,255,255,255,,
0,13,255,255,255,,
1,13,255,255,255,,
2,13,255,255,255,,
3,13,255,255,255,,
4,13,255,255,255,,
5,13,255,255,182,,
6,13,102,0,0,,
7,13,0,0,0,,
8,13,0,0,102,,
9,13,182,219,255,,
10,13,255,255,255,,
11,13,219,182,144,,
12,13,58,0,0,,
13,13,0,0,0,,
14,13,0,0,0,,
15,13,58,144,219,,
16,13,255,255,255,,
17,13,255,255,255,,
18,13,255,255,255,,
19,13,255,255,255,,
20,13,255,255,255,,
21,13,255,255,255,,
0,14,255,255,255,,
1,14,255,255,255,,
2,14,255,255,255,,
3,14,255,255,255,,
4,14,255,255,255,,
5,14,255,255,255,,
6,14,182,102,0,,
7,14,0,0,0,,
8,14,0,0,0,,
9,14,0,0,0,,
10,14,0,0,0,,
11,14,0,0,0,,
12,14,0,0,0,,
13,14,0,0,0,,
14,14,0,0,0,,
15,14,58,144,219,,
16,14,255,255,255,,
17,14,255,255,255,,
18,14,255,255,255,,
19,14,255,255,255,,
20,14,255,255,255,,
21,14,255,255,255,,
0,15,255,255,255,,
1,15,255,255,255,,
2,15,255,255,255,,
3,15,255,255,255,,
4,15,255,255,255,,
5,15,255,255,255,,
6,15,255,255,219,,
7,15,182,144,102,,
8,15,58,0,0,,
9,15,0,0,0,,
10,15,0,0,0,,
11,15,58,58,102,,
12,15,182,219,182,,
13,15,102,0,0,,
14,15,0,0,0,,
15,15,58,144,219,,
16,15,255,255,255,,
17,15,255,255,255,,
18,15,255,255,255,,
19,15,255,255,255,,
20,15,255,255,255,,
21,15,255,255,255,,
0,16,255,255,255,,
1,16,255,255,255,,
2,16,255,255,255,,
3,16,255,255,255,,
4,16,255,255,255,,
5,16,255,255,255,,
6,16,255,255,255,,
7,16,255,255,255,,
8,16,255,255,255,,
9,16,255,255,255,,
10,16,255,255,255,,
11,16,255,255,255,,
12,16,255,255,255,,
13,16,255,255,255,,
14,16,255,255,255,,
15,16,255,255,255,,
16,16,255,255,255,,
17,16,255,255,255,,
18,16,255,255,255,,
19,16,255,255,255,,
20,16,255,255,255,,
21,16,255,255,255,,
0,17,255,255,255,,
1,17,255,255,255,,
2,17,255,255,255,,
3,17,255,255,255,,
4,17,255,255,255,,
5,17,255,255,255,,
6,17,255,255,255,,
7,17,255,255,255,,
8,17,255,255,255,,
9,17,255,255,255,,
10,17,255,255,255,,
11,17,255,255,255,,
12,17,255,255,255,,
13,17,255,255,255,,
14,17,255,255,255,,
15,17,255,255,255,,
16,17,255,255,255,,
17,17,255,255,255,,
18,17,255,255,255,,
19,17,255,255,255,,
20,17,255,255,255,,
21,17,255,255,255,,
0,18,255,255,255,,
1,18,255,255,255,,
2,18,255,255,255,,
3,18,255,255,255,,
4,18,255,255,255,,
5,18,255,255,255,,
6,18,255,255,255,,
7,18,255,255,255,,
8,18,255,255,255,,
9,18,255,255,255,,
10,18,255,255,255,,
11,18,255,255,255,,
12,18,255,255,255,,
13,18,255,255,255,,
14,18,255,255,255,,
15,18,255,255,255,,
16,18,255,255,255,,
17,18,255,255,255,,
18,18,255,255,255,,
19,18,255,255,255,,
20,18,255,255,255,,
21,18,255,255,255,,
0,19,255,255,255,,
1,19,255,255,255,,
2,19,255,255,255,,
3,19,255,255,255,,
4,19,255,255,255,,
5,19,255,255,255,,
6,19,255,255,255,,
7,19,255,255,255,,
8,19,255,255,255,,
9,19,255,255,255,,
10,19,255,255,255,,
11,19,255,255,255,,
12,19,255,255,255,,
13,19,255,255,255,,
14,19,255,255,255,,
15,19,255,255,255,,
16,19,255,255,255,,
17,19,255,255,255,,
18,19,255,255,255,,
19,19,255,255,255,,
20,19,255,255,255,,
21,19,255,255,255,,
0,20,255,255,255,,
1,20,255,255,255,,
2,20,255,255,255,,
3,20,255,255,255,,
4,20,255,255,255,,
5,20,255,255,255,,
6,20,255,255,255,,
7,20,255,255,255,,
8,20,255,255,255,,
9,20,255,255,255,,
10,20,255,255,255,,
11,20,255,255,255,,
12,20,255,255,255,,
13,20,255,255,255,,
14,20,255,255,255,,
15,20,255,255,255,,
16,20,255,255,255,,
17,20,255,255,255,,
18,20,255,255,255,,
19,20,255,255,255,,
20,20,255,255,255,,
21,20,255,255,255,,
0,21,255,255,255,,
1,21,255,255,255,,
2,21,255,255,255,,
3,21,255,255,255,,
4,21,255,255,255,,
5,21,255,255,255,,
6,21,255,255,255,,
7,21,255,255,255,,
8,21,255,255,255,,
9,21,255,255,255,,
10,21,255,255,255,,
11,21,255,255,255,,
12,21,255,255,255,,
13,21,255,255,255,,
14,21,255,255,255,,
15,21,255,255,255,,
16,21,255,255,255,,
17,21,255,255,255,,
18,21,255,255,255,,
19,21,255,255,255,,
20,21,255,255,255,,
21,21,255,255,255,,
0,22,255,255,255,,
1,22,255,255,255,,
2,22,255,255,255,,
3,22,255,255,255,,
4,22,255,255,255,,
5,22,255,255,255,,
6,22,255,255,255,,
7,22,255,255,255,,
8,22,255,255,255,,
9,22,255,255,255,,
10,22,255,255,255,,
11,22,255,255,255,,
12,22,255,255,255,,
13,22,255,255,255,,
14,22,255,255,255,,
15,22,255,255,255,,
16,22,255,255,255,,
17,22,255,255,255,,
18,22,255,255,255,,
19,22,255,255,255,,
20,22,255,255,255,,
21,22,255,255,255,,
0,23,255,255,255,,
1,23,255,255,255,,
2,23,255,255,255,,
3,23,255,255,255,,
4,23,255,255,255,,
5,23,255,255,255,,
6,23,255,255,255,,
7,23,255,255,255,,
8,23,255,255,255,,
9,23,255,255,255,,
10,23,255,255,255,,
11,23,255,255,255,,
12,23,255,255,255,,
